"","county","month","rate"
"426","Muskegon","6",17.7
"427","Muskegon","7",12.8
"428","Newaygo","1",4.7
"429","Newaygo","2",4.1
"430","Newaygo","3",3.8
"431","Newaygo","4",25.7
"432","Newaygo","5",19.1
"433","Newaygo","6",12.9
"434","Newaygo","7",8.9
"435","Oakland","1",3.3
"436","Oakland","2",2.9
"437","Oakland","3",3.7
"438","Oakland","4",19.5
"439","Oakland","5",19.3
"440","Oakland","6",14.9
"441","Oakland","7",8.1
"442","Oceana","1",7.6
"443","Oceana","2",6.7
"444","Oceana","3",6.2
"445","Oceana","4",26.8
"446","Oceana","5",20.9
"447","Oceana","6",14.8
"448","Oceana","7",10.6
"449","Ogemaw","1",9.1
"450","Ogemaw","2",7.8
"451","Ogemaw","3",7.3
"452","Ogemaw","4",29.7
"453","Ogemaw","5",20.8
"454","Ogemaw","6",14.4
"455","Ogemaw","7",10.1
"456","Ontonagon","1",7.3
"457","Ontonagon","2",6.3
"458","Ontonagon","3",6.9
"459","Ontonagon","4",27.6
"460","Ontonagon","5",21.4
"461","Ontonagon","6",14.9
"462","Ontonagon","7",10.4
"463","Osceola","1",4.7
"464","Osceola","2",3.8
"465","Osceola","3",3.8
"466","Osceola","4",27.8
"467","Osceola","5",18.4
"468","Osceola","6",11.3
"469","Osceola","7",7.8
"470","Oscoda","1",8
"471","Oscoda","2",6.5
"472","Oscoda","3",6.4
"473","Oscoda","4",33
"474","Oscoda","5",25
"475","Oscoda","6",15.7
"476","Oscoda","7",11.6
"477","Otsego","1",6
"478","Otsego","2",4.9
"479","Otsego","3",5
"480","Otsego","4",29.8
"481","Otsego","5",22.8
"482","Otsego","6",15.3
"483","Otsego","7",10.1
"484","Ottawa","1",2.7
"485","Ottawa","2",2.3
"486","Ottawa","3",2.4
"487","Ottawa","4",20.9
"488","Ottawa","5",16.2
"489","Ottawa","6",11.1
"490","Ottawa","7",7.5
"491","Presque Isle","1",11.4
"492","Presque Isle","2",10.3
"493","Presque Isle","3",9.1
"494","Presque Isle","4",28.3
"495","Presque Isle","5",22
"496","Presque Isle","6",14.4
"497","Presque Isle","7",10
"498","Roscommon","1",9.8
"499","Roscommon","2",8.3
"500","Roscommon","3",7.9
"501","Roscommon","4",34.1
"502","Roscommon","5",25.5
"503","Roscommon","6",16
"504","Roscommon","7",11.8
"505","Saginaw","1",5.1
"506","Saginaw","2",4.4
"507","Saginaw","3",4.3
"508","Saginaw","4",25.2
"509","Saginaw","5",20.8
"510","Saginaw","6",14.6
"511","Saginaw","7",10.6
"512","St. Clair","1",5.4
"513","St. Clair","2",4.7
"514","St. Clair","3",5.7
"515","St. Clair","4",29
"516","St. Clair","5",25.6
"517","St. Clair","6",17.9
"518","St. Clair","7",8.9
"519","St. Joseph","1",4.3
"520","St. Joseph","2",3.2
"521","St. Joseph","3",3.4
"522","St. Joseph","4",30.3
"523","St. Joseph","5",19.5
"524","St. Joseph","6",13.1
"525","St. Joseph","7",9.3
"526","Sanilac","1",6
"527","Sanilac","2",4.8
"528","Sanilac","3",4.6
"529","Sanilac","4",30.8
"530","Sanilac","5",22.8
"531","Sanilac","6",13.9
"532","Sanilac","7",9
"533","Schoolcraft","1",9.3
"534","Schoolcraft","2",7.7
"535","Schoolcraft","3",7.7
"536","Schoolcraft","4",22
"537","Schoolcraft","5",15.5
"538","Schoolcraft","6",12.2
"539","Schoolcraft","7",9.1
"540","Shiawassee","1",4.4
"541","Shiawassee","2",3.7
"542","Shiawassee","3",3.8
"543","Shiawassee","4",29.1
"544","Shiawassee","5",21.9
"545","Shiawassee","6",12.9
"546","Shiawassee","7",8.6
"547","Tuscola","1",6
"548","Tuscola","2",5.1
"549","Tuscola","3",4.8
"550","Tuscola","4",32
"551","Tuscola","5",23.3
"552","Tuscola","6",14.4
"553","Tuscola","7",9.6
"554","Van Buren","1",5.3
"555","Van Buren","2",4.5
"556","Van Buren","3",4.2
"557","Van Buren","4",20.9
"558","Van Buren","5",16.7
"559","Van Buren","6",12.6
"560","Van Buren","7",8.8
"561","Washtenaw","1",2.5
"562","Washtenaw","2",2.2
"563","Washtenaw","3",2.3
"564","Washtenaw","4",14.8
"565","Washtenaw","5",13.9
"566","Washtenaw","6",10.7
"567","Washtenaw","7",7.9
"568","Wayne","1",5.1
"569","Wayne","2",4.4
"570","Wayne","3",5.4
"571","Wayne","4",25.8
"572","Wayne","5",26.5
"573","Wayne","6",20.7
"574","Wayne","7",12.4
"575","Wexford","1",5.4
"576","Wexford","2",4.6
"577","Wexford","3",4.6
"578","Wexford","4",31.3
"579","Wexford","5",22.1
"580","Wexford","6",14.3
"581","Wexford","7",10.1
