"","COUNTY","CTYNAME","AGEGRP","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","AA_MALE","AA_FEMALE","IA_MALE","IA_FEMALE","NA_MALE","NA_FEMALE","H_MALE","H_FEMALE","TOM_MALE","TOM_FEMALE","TOT_WA","TOT_BA","TOT_AA","TOT_IA","TOT_NA","TOT_H","TOT_TOM"
"6612",57,"Gratiot",18,1117,393,724,387,715,0,2,1,1,0,4,0,0,14,16,5,2,1102,2,2,4,0,30,7
"6822",59,"Hillsdale",0,45605,22750,22855,22020,22060,184,133,97,132,119,157,6,9,577,528,324,364,44080,317,229,276,15,1105,688
"6839",59,"Hillsdale",17,1092,497,595,488,587,1,2,1,1,2,1,1,0,3,0,4,4,1075,3,2,3,1,3,8
"6840",59,"Hillsdale",18,1005,333,672,327,661,1,1,0,1,3,4,0,0,6,12,2,5,988,2,1,7,0,18,7
"7050",61,"Houghton",0,35684,19291,16393,17928,15454,217,116,650,405,145,131,8,8,382,257,343,279,33382,333,1055,276,16,639,622
"7067",61,"Houghton",17,773,342,431,335,423,2,1,1,2,1,1,0,0,1,1,3,4,758,3,3,2,0,2,7
"7068",61,"Houghton",18,828,303,525,295,517,0,0,3,4,1,2,0,0,3,4,4,2,812,0,7,3,0,7,6
"7278",63,"Huron",0,30981,15357,15624,14956,15196,103,101,88,118,58,65,2,2,422,384,150,142,30152,204,206,123,4,806,292
"7295",63,"Huron",17,995,413,582,404,572,0,2,0,1,1,1,0,0,7,4,8,6,976,2,1,2,0,11,14
"7296",63,"Huron",18,1039,373,666,368,660,0,0,2,2,1,2,0,0,3,8,2,2,1028,0,4,3,0,11,4
"7506",65,"Ingham",0,292406,142456,149950,107232,113839,17852,18518,10311,10218,880,980,97,107,11612,11769,6084,6288,221071,36370,20529,1860,204,23381,12372
"7523",65,"Ingham",17,4108,1689,2419,1491,2114,131,220,47,50,5,10,1,0,62,83,14,25,3605,351,97,15,1,145,39
"7524",65,"Ingham",18,4672,1557,3115,1401,2802,99,207,49,63,4,12,0,0,53,118,4,31,4203,306,112,16,0,171,35
"7734",67,"Ionia",0,64697,34921,29776,30972,28754,2976,152,161,152,239,199,14,8,1835,1292,559,511,59726,3128,313,438,22,3127,1070
"7751",67,"Ionia",17,1098,454,644,447,638,0,0,0,2,2,3,0,0,11,10,5,1,1085,0,2,5,0,21,6
"7752",67,"Ionia",18,940,368,572,361,562,3,3,0,0,1,2,0,0,16,3,3,5,923,6,0,3,0,19,8
"7962",69,"Iosco",0,25127,12469,12658,11843,12093,125,84,92,116,133,111,6,7,340,310,270,247,23936,209,208,244,13,650,517
"7979",69,"Iosco",17,971,446,525,439,513,4,2,0,4,0,2,0,0,1,1,3,4,952,6,4,2,0,2,7
"7980",69,"Iosco",18,820,342,478,333,468,2,1,2,3,3,2,0,0,5,3,2,4,801,3,5,5,0,8,6
"8190",71,"Iron",0,11066,5520,5546,5302,5302,30,17,11,40,84,89,1,1,109,152,92,97,10604,47,51,173,2,261,189
"8207",71,"Iron",17,400,177,223,172,218,0,0,0,1,3,4,0,0,2,3,2,0,390,0,1,7,0,5,2
